year,SEX,Diagnosis_Code,count
2019,FEMALE,E124,4
2019,FEMALE,E125,2
2019,FEMALE,E126,1
2019,FEMALE,E127,6
2019,FEMALE,E128,3
2019,FEMALE,E129,8
2019,FEMALE,E131,1
2019,FEMALE,E132,1
2019,FEMALE,E133,1
2019,FEMALE,E136,7
2019,FEMALE,E137,2
2019,FEMALE,E138,3
2019,FEMALE,E139,1
2019,FEMALE,E141,2
2019,FEMALE,E142,1
2019,FEMALE,E143,5
2019,FEMALE,E144,1
2019,FEMALE,E145,6
2019,FEMALE,E146,20
2019,FEMALE,E147,1
2019,FEMALE,E148,14
2019,FEMALE,E149,12
2019,FEMALE,E660,176
2019,FEMALE,E662,13
2019,FEMALE,E668,7
